X,CH1,Start,Increment,
Sequence,Volt,5.2499997313e-002,1.0000000657e-005,
0,1.600e-002,
1,-1.600e-002,
2,1.600e-002,
3,-1.600e-002,
4,-1.600e-002,
5,8.000e-003,
6,8.000e-003,
7,-2.400e-002,
8,-2.400e-002,
9,8.000e-003,
10,-2.400e-002,
11,0.000e000,
12,-2.400e-002,
13,0.000e000,
14,-2.400e-002,
15,8.000e-003,
16,-2.400e-002,
17,8.000e-003,
18,8.000e-003,
19,-2.400e-002,
20,8.000e-003,
21,-2.400e-002,
22,-2.400e-002,
23,8.000e-003,
24,0.000e000,
25,-2.400e-002,
26,0.000e000,
27,-3.200e-002,
28,-8.000e-003,
29,-3.200e-002,
30,-8.000e-003,
31,-4.000e-002,
32,-8.000e-003,
33,-4.000e-002,
34,-1.600e-002,
35,-4.000e-002,
36,-4.000e-002,
37,-8.000e-003,
38,-4.000e-002,
39,-8.000e-003,
40,-3.200e-002,
41,-8.000e-003,
42,-3.200e-002,
43,0.000e000,
44,-2.400e-002,
45,8.000e-003,
46,-1.600e-002,
47,1.600e-002,
48,-8.000e-003,
49,1.600e-002,
50,1.600e-002,
51,-8.000e-003,
52,-8.000e-003,
53,1.600e-002,
54,1.600e-002,
55,-1.600e-002,
56,1.600e-002,
57,-1.600e-002,
58,8.000e-003,
59,-2.400e-002,
60,-2.400e-002,
61,8.000e-003,
62,-2.400e-002,
63,0.000e000,
64,0.000e000,
65,-3.200e-002,
66,-3.200e-002,
67,0.000e000,
68,-8.000e-003,
69,-3.200e-002,
70,-3.200e-002,
71,0.000e000,
72,-2.400e-002,
73,8.000e-003,
74,-2.400e-002,
75,8.000e-003,
76,-1.600e-002,
77,1.600e-002,
78,-8.000e-003,
79,2.400e-002,
80,-8.000e-003,
81,2.400e-002,
82,2.400e-002,
83,-8.000e-003,
84,2.400e-002,
85,-8.000e-003,
86,1.600e-002,
87,-8.000e-003,
88,1.600e-002,
89,-1.600e-002,
90,8.000e-003,
91,-1.600e-002,
92,8.000e-003,
93,-2.400e-002,
94,-2.400e-002,
95,8.000e-003,
96,-2.400e-002,
97,8.000e-003,
98,0.000e000,
99,-2.400e-002,
100,-2.400e-002,
101,8.000e-003,
102,-1.600e-002,
103,1.600e-002,
104,-1.600e-002,
105,1.600e-002,
106,-8.000e-003,
107,1.600e-002,
108,-8.000e-003,
109,2.400e-002,
110,2.400e-002,
111,-8.000e-003,
112,2.400e-002,
113,-8.000e-003,
114,-8.000e-003,
115,2.400e-002,
116,1.600e-002,
117,-1.600e-002,
118,1.600e-002,
119,-1.600e-002,
120,8.000e-003,
121,-2.400e-002,
122,0.000e000,
123,-2.400e-002,
124,0.000e000,
125,-3.200e-002,
126,-8.000e-003,
127,-3.200e-002,
128,-8.000e-003,
129,-3.200e-002,
130,-3.200e-002,
131,-8.000e-003,
132,-3.200e-002,
133,0.000e000,
134,-2.400e-002,
135,0.000e000,
136,-2.400e-002,
137,8.000e-003,
138,-1.600e-002,
139,8.000e-003,
140,-1.600e-002,
141,1.600e-002,
142,-1.600e-002,
143,1.600e-002,
144,-8.000e-003,
145,1.600e-002,
146,1.600e-002,
147,-1.600e-002,
148,1.600e-002,
149,-1.600e-002,
150,-1.600e-002,
151,1.600e-002,
152,-1.600e-002,
153,1.600e-002,
154,-1.600e-002,
155,1.600e-002,
156,-8.000e-003,
157,2.400e-002,
158,2.400e-002,
159,-8.000e-003,
160,0.000e000,
161,3.200e-002,
162,3.200e-002,
163,0.000e000,
164,0.000e000,
165,3.200e-002,
166,2.400e-002,
167,0.000e000,
168,2.400e-002,
169,-8.000e-003,
170,-8.000e-003,
171,1.600e-002,
172,1.600e-002,
173,-1.600e-002,
174,8.000e-003,
175,-2.400e-002,
176,0.000e000,
177,-3.200e-002,
178,-8.000e-003,
179,-3.200e-002,
180,-8.000e-003,
181,-4.000e-002,
182,-1.600e-002,
183,-4.000e-002,
184,-1.600e-002,
185,-4.000e-002,
186,-4.000e-002,
187,-1.600e-002,
188,-1.600e-002,
189,-4.000e-002,
190,-4.000e-002,
191,-8.000e-003,
192,-4.000e-002,
193,-8.000e-003,
194,-3.200e-002,
195,-8.000e-003,
196,-2.400e-002,
197,0.000e000,
198,-2.400e-002,
199,8.000e-003,
200,-1.600e-002,
201,8.000e-003,
202,-1.600e-002,
203,8.000e-003,
204,-1.600e-002,
205,8.000e-003,
206,-1.600e-002,
207,8.000e-003,
208,8.000e-003,
209,-1.600e-002,
210,-1.600e-002,
211,1.600e-002,
212,-8.000e-003,
213,1.600e-002,
214,-8.000e-003,
215,2.400e-002,
216,2.400e-002,
217,-8.000e-003,
218,2.400e-002,
219,-8.000e-003,
220,2.400e-002,
221,-8.000e-003,
222,-8.000e-003,
223,2.400e-002,
224,1.600e-002,
225,-8.000e-003,
226,1.600e-002,
227,-1.600e-002,
228,8.000e-003,
229,-1.600e-002,
230,8.000e-003,
231,-2.400e-002,
232,0.000e000,
233,-2.400e-002,
234,-2.400e-002,
235,0.000e000,
236,-2.400e-002,
237,0.000e000,
238,-2.400e-002,
239,8.000e-003,
240,-1.600e-002,
241,8.000e-003,
242,-1.600e-002,
243,8.000e-003,
244,-1.600e-002,
245,1.600e-002,
246,-1.600e-002,
247,1.600e-002,
248,-1.600e-002,
249,1.600e-002,
250,-1.600e-002,
251,8.000e-003,
252,-1.600e-002,
253,8.000e-003,
254,-1.600e-002,
255,8.000e-003,
256,8.000e-003,
257,-1.600e-002,
258,-1.600e-002,
259,1.600e-002,
260,-1.600e-002,
261,1.600e-002,
262,-8.000e-003,
